Year,PollutionGlobale
2010,-12.66868763492135
2011,-12.683339634127769
2013,-12.593660426487883
2014,-12.577383079184367
2015,-12.621414165466666
2016,-12.611012435825932
2017,-12.632141415457394
2018,-12.598172174076304
