Year,P,K_estimated,B0_estimated,r_estimated
2019,-12.582366522239303,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2020,-12.639077048239969,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2021,-12.668398941292763,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2022,-12.680897391660276,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2023,-12.637277468408342,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2024,-12.593804541436699,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2025,-12.538150455316584,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2026,-12.584062171405327,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2027,-12.596786547347717,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2028,-12.622997005836249,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2029,-12.562480400905693,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2030,-12.621512733985469,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2031,-12.663472024227291,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2032,-12.62704416798339,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2033,-12.586868066061136,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2034,-12.54701860941329,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2035,-12.522456847208053,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2036,-12.52555696067611,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2037,-12.51703269522155,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2038,-12.490900778442045,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2039,-12.504872212539633,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2040,-12.45979138049581,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2041,-12.433893037330103,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2042,-12.41727661186818,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2043,-12.411821700292771,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2044,-12.447217232152967,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2045,-12.409834975413109,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2046,-12.411601445729916,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2047,-12.423071573694862,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2048,-12.36672678384487,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2049,-12.38002656184961,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
2050,-12.339237360847209,0.5711284381885653,0.4904659556682169,2.123054708861405e-06
