Region,Year,Mean_NDVI,Mean_NO2,r_estimated,K_estimated,B0_estimated,r0_global,alpha_global
Aarau,2010,0.6000016591779798,19.383899257911704,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2011,0.5504887499430398,18.431972539320288,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2013,0.7121477865561724,17.764441071007827,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2014,0.6957158811174534,18.063296451226577,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2015,0.6856706450296809,17.02346432004344,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2016,0.6110873136003039,18.01854252842536,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2017,0.6640812313352203,16.666310569613273,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Aarau,2018,0.6777749366252456,16.27325447712723,0.6188370200867555,0.6743915894609542,0.5732193183459505,0.269650773891944,-0.0408556911033377
Affoltern,2010,0.6088349967426364,16.970917453759114,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2011,0.6320193513589868,16.061778268533693,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2013,0.6284108937126154,15.66840241202808,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2014,0.6813933147478598,16.05975911974527,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2015,0.6495167769382983,15.005419775732772,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2016,0.6979626511546466,16.453028669097176,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2017,0.6204476542508277,14.584555433694243,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Affoltern,2018,0.6813254630373949,14.254799861076917,0.4130229063365577,0.6687842910438972,0.6092919939641717,0.269650773891944,-0.0408556911033377
Aigle,2010,0.3128464027232041,7.760076928582875,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2011,0.4455542280575191,7.652911706925804,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2013,0.5094238046024558,7.437713566617341,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2014,0.5429731499149788,7.426317200460549,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2015,0.4810148641157598,6.7472224686715006,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2016,0.5511879737603175,6.814679307042513,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2017,0.4596313551165106,6.465363629858783,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Aigle,2018,0.5393110731193066,6.88419357691567,1.4492910370635337,0.5147155358234787,0.3124023693571095,0.269650773891944,-0.0408556911033377
Albula,2010,0.2460798254547142,2.0924048408973093,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2011,0.2168645536079642,1.905379173667196,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2013,0.3444664256479081,1.905577968851988,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2014,0.3043880458187383,1.917464772419352,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2015,0.3280316703662372,1.721043092561822,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2016,0.3548292996274031,1.7305326556628653,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2017,0.2536857267735339,1.624738350995889,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Albula,2018,0.2363246307006761,1.8455241771303463,0.8327211895974787,0.3012366645799386,0.2270153188828164,0.269650773891944,-0.0408556911033377
Andelfingen,2010,0.6034610102222863,15.62617562050554,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
Andelfingen,2011,0.5628470879856556,14.660076764860904,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
Andelfingen,2013,0.6754913875915362,14.452999047034076,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
Andelfingen,2014,0.6489207448003769,15.18097408971036,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
Andelfingen,2015,0.6017924988327613,13.68694816669896,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
Andelfingen,2016,0.6501188637481726,15.423368534520126,0.6709809307997424,0.6302800047888938,0.5873849102547036,0.269650773891944,-0.0408556911033377
