Year,NO2,O3,PM10,SO2,CH4,CO2,NDVI
2010,8.591879035835648,146.6027569359285,11.077229166631287,0.7622000653093332,1.7984342,388.755,0.5035577336823855
2011,8.214912654913391,133.3594623287207,11.318699822567373,0.6971317506190806,1.8030941,390.62082,0.4937898685063048
2013,8.16862871754172,130.64244298115614,9.888145679580358,0.5522870031091074,1.8134775,395.39584,0.5879073953441444
2014,7.470693207496712,119.67054685577786,8.288205674331952,0.5114889367424804,1.8227141,397.34418,0.5883837499494697
2015,7.784369234727119,141.43932704211218,8.945948214395132,0.5170089198131721,1.8342966,399.64917,0.5578846861078451
2016,7.236706748760829,122.24809219461068,7.767092112898529,0.4474564393624888,1.8432483,403.06583,0.5790674235760433
2017,7.453007611959267,126.13163033812569,8.07631802125561,0.4116107069982925,1.8496609,405.21667,0.5339325879838156
2018,7.131930278706533,139.11103243317595,8.734504394280576,0.37996671520738323,1.8574475,407.61084,0.5752443361584014
