Year,P,NDVI,r_estimated,B0_estimated,K_estimated
2010,-12.66868763492135,0.5035577336823855,2.1230547088614055e-06,0.49046595566821694,0.5711284381885653
2011,-12.683339634127767,0.4937898685063048,2.0921744938428107e-06,0.49046595566821694,0.5711284381885653
2013,-12.593660426487885,0.5879073953441444,2.2884692869599564e-06,0.49046595566821694,0.5711284381885653
2014,-12.577383079184369,0.5883837499494697,2.326024315270197e-06,0.49046595566821694,0.5711284381885653
2015,-12.621414165466666,0.5578846861078451,2.2258289798528513e-06,0.49046595566821694,0.5711284381885653
2016,-12.611012435825932,0.5790674235760433,2.2491022825898117e-06,0.49046595566821694,0.5711284381885653
2017,-12.632141415457394,0.5339325879838156,2.2020795666400446e-06,0.49046595566821694,0.5711284381885653
2018,-12.598172174076304,0.5752443361584014,2.2781675480712012e-06,0.49046595566821694,0.5711284381885653
