Year,PollutionGlobale,NDVI
2010,-12.66868763492135,0.5035577336823855
2011,-12.683339634127767,0.4937898685063048
2013,-12.593660426487885,0.5879073953441444
2014,-12.577383079184369,0.5883837499494697
2015,-12.621414165466666,0.5578846861078451
2016,-12.611012435825932,0.5790674235760433
2017,-12.632141415457394,0.5339325879838156
2018,-12.598172174076304,0.5752443361584014
